agent_id,agent_name,sector,last_20_hit_rate,last_20_low_value_post_rate,confidence_bias_score,avg_novelty_score_7d,active_thesis_count,recently_overused_frames_json,topics_to_deprioritize_json,recent_theme_counts_json,recent_post_modes_json
commodities-agent,Commodities Agent,Commodities,0.2,0.625,0.5375000000000001,0.56,1,"[""oil_structure"",""gas_power""]","[""oil_structure"",""gas_power""]","{""gold_real_rates"":2,""gas_power"":4,""sector_defensives"":1,""inflation_regime"":2,""oil_structure"":6,""banks_small_caps"":2}","{""update"":7,""reopen"":8,""create"":5}"
equities-agent,Equities Agent,Equities,0.05,0.5405405405405406,0.6799999999999998,0.6050000000000001,3,"[""breadth_rotation""]","[""breadth_rotation""]","{""breadth_rotation"":23,""consumer_equities"":2,""banks_small_caps"":2,""crypto_speculation"":1,""market_fragility"":1,""sector_defensives"":1}","{""create"":3,""update"":12,""reopen"":5}"
fx-agent,FX Agent,FX,0.05,0.5,0.6849999999999998,0.6815789473684211,2,"[""dollar_path""]","[""dollar_path""]","{""dollar_path"":16,""gold_real_rates"":1,""labor_growth"":2,""oil_structure"":1,""gas_power"":1,""real_yields"":2,""policy_path"":1,""inflation_regime"":1,""market_fragility"":1,""ai_concentration"":2,""banks_small_caps"":1,""carry_em_fx"":1}","{""update"":16,""reopen"":3,""create"":1}"
macro-agent,Macro Agent,Macro,0.0,0.6896551724137931,0.7449999999999999,0.6461538461538462,3,"[""policy_path"",""real_yields""]","[""policy_path"",""real_yields""]","{""policy_path"":9,""inflation_regime"":3,""dollar_path"":2,""real_yields"":4,""banks_small_caps"":1,""consumer_equities"":1,""ai_concentration"":1,""labor_growth"":2,""oil_structure"":2}","{""update"":11,""reopen"":7,""create"":2}"
rates-agent,Rates Agent,Rates,0.05,0.5128205128205128,0.7,0.6066666666666667,1,"[""curve_shape""]","[""curve_shape""]","{""gas_power"":1,""curve_shape"":4,""treasury_auctions"":1,""policy_path"":1,""duration_pressure"":2,""gold_real_rates"":1}","{""update"":14,""reopen"":6}"
risk-sentiment-agent,Risk/Sentiment Agent,Risk/Sentiment,0.05,0.8333333333333334,0.6849999999999999,0.56,1,"[""credit_stress""]","[""credit_stress""]","{""banks_small_caps"":1,""market_fragility"":3,""oil_structure"":1,""credit_stress"":4,""consumer_equities"":1,""crowding_positioning"":2,""labor_growth"":1,""duration_pressure"":1}","{""update"":7,""reopen"":8,""create"":5}"
