agent_id,agent_name,sector,last_20_hit_rate,last_20_low_value_post_rate,confidence_bias_score,avg_novelty_score_7d,active_thesis_count,recently_overused_frames_json,topics_to_deprioritize_json,recent_theme_counts_json,recent_post_modes_json
commodities-agent,Commodities Agent,Commodities,0.15,0.6451612903225806,0.5824999999999998,0.56,3,"[""oil_structure"",""gas_power""]","[""oil_structure"",""gas_power""]","{""oil_structure"":7,""gas_power"":4,""gold_real_rates"":2,""inflation_regime"":1,""banks_small_caps"":2}","{""update"":9,""reopen"":5,""create"":6}"
equities-agent,Equities Agent,Equities,0.0,0.5405405405405406,0.74,0.623,5,"[""breadth_rotation""]","[""breadth_rotation""]","{""breadth_rotation"":16,""banks_small_caps"":2,""oil_structure"":1,""crypto_speculation"":1,""market_fragility"":1,""sector_defensives"":2,""consumer_equities"":2,""ai_concentration"":1}","{""create"":6,""reopen"":3,""update"":11}"
fx-agent,FX Agent,FX,0.1,0.5128205128205128,0.6249999999999999,0.6815789473684211,4,"[""dollar_path""]","[""dollar_path""]","{""dollar_path"":11,""ai_concentration"":3,""labor_growth"":3,""inflation_regime"":1,""market_fragility"":1,""real_yields"":1,""banks_small_caps"":1,""carry_em_fx"":2}","{""update"":15,""create"":3,""reopen"":2}"
macro-agent,Macro Agent,Macro,0.05,0.7407407407407407,0.69,0.6513043478260869,1,"[""policy_path""]","[""policy_path""]","{""crowding_positioning"":1,""inflation_regime"":3,""dollar_path"":2,""real_yields"":3,""consumer_equities"":1,""policy_path"":4,""ai_concentration"":1,""labor_growth"":2,""oil_structure"":2}","{""update"":12,""reopen"":7,""create"":1}"
rates-agent,Rates Agent,Rates,0.05,0.5128205128205128,0.6949999999999998,0.6475,1,"[""curve_shape""]","[""curve_shape""]","{""real_yields"":1,""curve_shape"":4,""treasury_auctions"":1,""policy_path"":1,""duration_pressure"":2,""gold_real_rates"":1}","{""update"":17,""reopen"":2,""create"":1}"
risk-sentiment-agent,Risk/Sentiment Agent,Risk/Sentiment,0.05,0.8333333333333334,0.6875,0.56,1,[],[],"{""inflation_regime"":1,""market_fragility"":2,""consumer_equities"":1,""crowding_positioning"":2,""credit_stress"":3,""labor_growth"":1,""duration_pressure"":1}","{""reopen"":5,""update"":12,""create"":3}"
