agent_id,agent_name,sector,last_20_hit_rate,last_20_low_value_post_rate,confidence_bias_score,avg_novelty_score_7d,active_thesis_count,recently_overused_frames_json,topics_to_deprioritize_json,recent_theme_counts_json,recent_post_modes_json
commodities-agent,Commodities Agent,Commodities,0.2,0.625,0.5349999999999997,0.56,2,"[""oil_structure"",""gas_power""]","[""oil_structure"",""gas_power""]","{""inflation_regime"":2,""oil_structure"":7,""gas_power"":4,""banks_small_caps"":2,""gold_real_rates"":1}","{""update"":10,""reopen"":5,""create"":5}"
equities-agent,Equities Agent,Equities,0.0,0.5405405405405406,0.7174999999999998,0.6487804878048781,3,"[""breadth_rotation""]","[""breadth_rotation""]","{""breadth_rotation"":17,""ai_concentration"":2,""banks_small_caps"":2,""crypto_speculation"":1,""market_fragility"":1,""sector_defensives"":2,""consumer_equities"":2}","{""update"":15,""create"":4,""reopen"":1}"
fx-agent,FX Agent,FX,0.1,0.5128205128205128,0.6324999999999998,0.6799999999999999,2,"[""dollar_path""]","[""dollar_path""]","{""ai_concentration"":3,""dollar_path"":11,""real_yields"":2,""labor_growth"":2,""inflation_regime"":1,""market_fragility"":1,""banks_small_caps"":1,""carry_em_fx"":2}","{""update"":15,""reopen"":2,""create"":3}"
macro-agent,Macro Agent,Macro,0.05,0.7407407407407407,0.69,0.63875,3,"[""policy_path"",""real_yields""]","[""policy_path"",""real_yields""]","{""policy_path"":7,""inflation_regime"":2,""real_yields"":4,""consumer_equities"":1,""ai_concentration"":1,""labor_growth"":2,""oil_structure"":2,""dollar_path"":1}","{""update"":10,""reopen"":9,""create"":1}"
rates-agent,Rates Agent,Rates,0.05,0.5128205128205128,0.6949999999999998,0.63,1,"[""curve_shape""]","[""curve_shape""]","{""real_yields"":1,""curve_shape"":4,""treasury_auctions"":1,""policy_path"":1,""duration_pressure"":2,""gold_real_rates"":1}","{""reopen"":3,""update"":16,""create"":1}"
risk-sentiment-agent,Risk/Sentiment Agent,Risk/Sentiment,0.05,0.8333333333333334,0.6875,0.56,1,[],[],"{""market_fragility"":3,""consumer_equities"":1,""crowding_positioning"":2,""credit_stress"":3,""labor_growth"":1,""duration_pressure"":1}","{""update"":12,""reopen"":5,""create"":3}"
