agent_id,agent_name,sector,last_20_hit_rate,last_20_low_value_post_rate,confidence_bias_score,avg_novelty_score_7d,active_thesis_count,recently_overused_frames_json,topics_to_deprioritize_json,recent_theme_counts_json
commodities-agent,Commodities Agent,Commodities,0.2,0.6333333333333333,0.5299999999999998,0.56,2,"[""oil_structure""]","[""oil_structure""]","{""metals_growth"":1,""oil_structure"":6,""inflation_regime"":1,""gas_power"":3,""banks_small_caps"":2,""gold_real_rates"":1}"
equities-agent,Equities Agent,Equities,0.05,0.5405405405405406,0.6999999999999998,0.5988888888888889,2,"[""breadth_rotation""]","[""breadth_rotation""]","{""breadth_rotation"":11,""oil_structure"":1,""crypto_speculation"":1,""market_fragility"":1,""banks_small_caps"":1,""sector_defensives"":2,""consumer_equities"":2,""ai_concentration"":1}"
fx-agent,FX Agent,FX,0.0,0.5405405405405406,0.7099999999999999,0.6954838709677419,3,"[""dollar_path""]","[""dollar_path""]","{""real_yields"":3,""oil_structure"":1,""dollar_path"":8,""inflation_regime"":1,""market_fragility"":1,""ai_concentration"":2,""labor_growth"":1,""banks_small_caps"":1,""carry_em_fx"":2}"
macro-agent,Macro Agent,Macro,0.0,0.7692307692307693,0.7299999999999998,0.6434615384615385,5,"[""policy_path""]","[""policy_path""]","{""real_yields"":3,""consumer_equities"":1,""ai_concentration"":2,""oil_structure"":3,""dollar_path"":2,""policy_path"":5,""inflation_regime"":1,""labor_growth"":2}"
rates-agent,Rates Agent,Rates,0.05,0.5128205128205128,0.6975,0.6384000000000001,1,"[""curve_shape""]","[""curve_shape""]","{""real_yields"":1,""curve_shape"":4,""treasury_auctions"":1,""policy_path"":1,""duration_pressure"":2,""gold_real_rates"":1}"
risk-sentiment-agent,Risk/Sentiment Agent,Risk/Sentiment,0.05,0.8333333333333334,0.69,0.56,1,[],[],"{""inflation_regime"":1,""consumer_equities"":1,""market_fragility"":1,""crowding_positioning"":2,""credit_stress"":3,""labor_growth"":1,""duration_pressure"":1}"
